================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: True
AGC Clip Factor: 10.0
Learning Rate (per 1024 examples): 5.75

Summary Results:
Mean Accuracy: 0.9128
Std Accuracy: 0.0019
Time Mean: 4.8391 seconds
Time Std: 1.8197 seconds

================================================================================

Detailed Training Logs:
================================================================================

|       0  |      0  |      1.6826  |     0.5928  |   0.5970  |               |              9.4809  |
|          |      1  |      1.3027  |     0.7998  |   0.7393  |               |             10.0043  |
|          |      2  |      1.2129  |     0.8398  |   0.8108  |               |             10.5137  |
|          |      3  |      1.1650  |     0.8574  |   0.8350  |               |             10.9902  |
|          |      4  |      1.1182  |     0.8896  |   0.8678  |               |             11.4593  |
|          |      5  |      1.0947  |     0.9004  |   0.8756  |               |             11.9265  |
|          |      6  |      1.0547  |     0.9258  |   0.8931  |               |             12.4040  |
|          |      7  |      1.0391  |     0.9375  |   0.8995  |               |             12.8809  |
|          |      8  |      1.0215  |     0.9541  |   0.9048  |               |             13.3495  |
|          |   eval  |      1.0215  |     0.9541  |   0.9048  |       0.9126  |             13.5125  |
------------------------------------------------------------------------------------------------------

|       1  |      0  |      1.6816  |     0.6211  |   0.6055  |               |              0.5389  |
|          |      1  |      1.3311  |     0.7725  |   0.7338  |               |              1.2015  |
|          |      2  |      1.2021  |     0.8516  |   0.7629  |               |              1.7872  |
|          |      3  |      1.1504  |     0.8691  |   0.8498  |               |              2.2336  |
|          |      4  |      1.1182  |     0.8809  |   0.8785  |               |              2.7189  |
|          |      5  |      1.0811  |     0.9170  |   0.8855  |               |              3.1990  |
|          |      6  |      1.0479  |     0.9258  |   0.8943  |               |              3.6805  |
|          |      7  |      1.0342  |     0.9395  |   0.8978  |               |              4.0895  |
|          |      8  |      1.0176  |     0.9434  |   0.9047  |               |              4.5531  |
|          |   eval  |      1.0176  |     0.9434  |   0.9047  |       0.9157  |              4.7160  |
------------------------------------------------------------------------------------------------------

|       2  |      0  |      1.6738  |     0.6299  |   0.5827  |               |              0.4989  |
|          |      1  |      1.3232  |     0.7754  |   0.7249  |               |              0.9556  |
|          |      2  |      1.2090  |     0.8369  |   0.8035  |               |              1.4758  |
|          |      3  |      1.1621  |     0.8691  |   0.8422  |               |              1.9562  |
|          |      4  |      1.1074  |     0.8906  |   0.8713  |               |              2.4080  |
|          |      5  |      1.0947  |     0.8975  |   0.8683  |               |              2.8754  |
|          |      6  |      1.0635  |     0.9141  |   0.8924  |               |              3.3448  |
|          |      7  |      1.0273  |     0.9395  |   0.8952  |               |              3.8228  |
|          |      8  |      1.0098  |     0.9551  |   0.9069  |               |              4.2670  |
|          |   eval  |      1.0098  |     0.9551  |   0.9069  |       0.9144  |              4.4302  |
------------------------------------------------------------------------------------------------------

|       3  |      0  |      1.6680  |     0.6357  |   0.5946  |               |              0.5253  |
|          |      1  |      1.3203  |     0.7764  |   0.7436  |               |              1.0600  |
|          |      2  |      1.2520  |     0.7881  |   0.7709  |               |              1.5753  |
|          |      3  |      1.1436  |     0.8750  |   0.8086  |               |              2.0470  |
|          |      4  |      1.1074  |     0.8877  |   0.8615  |               |              2.5258  |
|          |      5  |      1.0654  |     0.9219  |   0.8795  |               |              3.0054  |
|          |      6  |      1.0586  |     0.9219  |   0.8924  |               |              3.4798  |
|          |      7  |      1.0420  |     0.9307  |   0.8942  |               |              3.9197  |
|          |      8  |      1.0000  |     0.9590  |   0.9051  |               |              4.3974  |
|          |   eval  |      1.0000  |     0.9590  |   0.9051  |       0.9140  |              4.5604  |
------------------------------------------------------------------------------------------------------

|       4  |      0  |      1.6553  |     0.6172  |   0.5997  |               |              0.6253  |
|          |      1  |      1.3350  |     0.7666  |   0.6843  |               |              1.1459  |
|          |      2  |      1.2109  |     0.8350  |   0.8074  |               |              1.6520  |
|          |      3  |      1.1562  |     0.8643  |   0.8331  |               |              2.1170  |
|          |      4  |      1.1035  |     0.9102  |   0.8667  |               |              2.5857  |
|          |      5  |      1.0859  |     0.9111  |   0.8779  |               |              3.0398  |
|          |      6  |      1.0283  |     0.9434  |   0.8904  |               |              3.4719  |
|          |      7  |      1.0469  |     0.9277  |   0.8940  |               |              3.9601  |
|          |      8  |      1.0107  |     0.9463  |   0.9020  |               |              4.4632  |
|          |   eval  |      1.0107  |     0.9463  |   0.9020  |       0.9115  |              4.6267  |
------------------------------------------------------------------------------------------------------

|       5  |      0  |      1.6709  |     0.5898  |   0.5989  |               |              0.5240  |
|          |      1  |      1.3545  |     0.7363  |   0.7027  |               |              1.0521  |
|          |      2  |      1.2217  |     0.8252  |   0.7962  |               |              1.5701  |
|          |      3  |      1.1650  |     0.8496  |   0.8421  |               |              2.0412  |
|          |      4  |      1.1016  |     0.8984  |   0.8600  |               |              2.5132  |
|          |      5  |      1.0811  |     0.9102  |   0.8830  |               |              3.0025  |
|          |      6  |      1.0469  |     0.9316  |   0.8817  |               |              3.4938  |
