================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: False
Learning Rate (per 1024 examples): 46.0

Summary Results:
Mean Accuracy: 0.8124
Std Accuracy: 0.1416
Time Mean: 4.5440 seconds
Time Std: 1.5540 seconds

================================================================================

Detailed Training Logs:
================================================================================

|       0  |      0  |      1.4658  |     0.6826  |   0.5954  |               |              8.1633  |
|          |      1  |      1.4043  |     0.7236  |   0.2192  |               |              8.5923  |
|          |      2  |      2.1367  |     0.3428  |   0.1814  |               |              9.0206  |
|          |      3  |      2.2988  |     0.0947  |   0.1091  |               |              9.4287  |
|          |      4  |      2.1289  |     0.2568  |   0.2495  |               |              9.8347  |
|          |      5  |      2.0547  |     0.2529  |   0.2134  |               |             10.2390  |
|          |      6  |      1.9219  |     0.4121  |   0.2421  |               |             10.6503  |
|          |      7  |      1.4541  |     0.6787  |   0.5592  |               |             11.0533  |
|          |      8  |      1.2598  |     0.7871  |   0.6836  |               |             11.4569  |
|          |      9  |      1.1719  |     0.8447  |   0.8424  |               |             11.8283  |
|          |   eval  |      1.1719  |     0.8447  |   0.8424  |       0.8485  |             11.9979  |
------------------------------------------------------------------------------------------------------

|       1  |      0  |      1.4678  |     0.6875  |   0.6184  |               |              0.4181  |
|          |      1  |      1.9932  |     0.4844  |   0.1676  |               |              0.8552  |
|          |      2  |      2.3027  |     0.1016  |   0.1038  |               |              1.2857  |
|          |      3  |      2.1895  |     0.2393  |   0.1623  |               |              1.6923  |
|          |      4  |      2.0332  |     0.3311  |   0.1001  |               |              2.0935  |
|          |      5  |      1.9229  |     0.3418  |   0.3378  |               |              2.4983  |
|          |      6  |      1.8809  |     0.4053  |   0.1555  |               |              2.9028  |
|          |      7  |      1.5146  |     0.6367  |   0.4553  |               |              3.3105  |
|          |      8  |      1.3086  |     0.7549  |   0.6425  |               |              3.7161  |
|          |      9  |      1.2412  |     0.8076  |   0.8091  |               |              4.0887  |
|          |   eval  |      1.2412  |     0.8076  |   0.8091  |       0.8174  |              4.2583  |
------------------------------------------------------------------------------------------------------

|       2  |      0  |      1.4697  |     0.6641  |   0.4580  |               |              0.4191  |
|          |      1  |      1.6064  |     0.6230  |   0.1076  |               |              0.8402  |
|          |      2  |      2.3105  |     0.0977  |   0.0991  |               |              1.2635  |
