================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: True
AGC Clip Factor: 10.0
Learning Rate (per 1024 examples): 46.0

Summary Results:
Mean Accuracy: 0.9216
Std Accuracy: 0.0075
Time Mean: 4.8801 seconds
Time Std: 1.9078 seconds

================================================================================

Detailed Training Logs:
================================================================================

|       0  |      0  |      1.4180  |     0.7217  |   0.3964  |               |              9.5259  |
|          |      1  |      1.4629  |     0.7041  |   0.3130  |               |             10.0368  |
|          |      2  |      1.3096  |     0.7861  |   0.4906  |               |             10.5390  |
|          |      3  |      1.2314  |     0.8164  |   0.7445  |               |             11.0175  |
|          |      4  |      1.1982  |     0.8389  |   0.7417  |               |             11.4879  |
|          |      5  |      1.1543  |     0.8555  |   0.7474  |               |             11.9601  |
|          |      6  |      1.0889  |     0.8994  |   0.8273  |               |             12.4483  |
|          |      7  |      1.0479  |     0.9150  |   0.8558  |               |             12.9163  |
|          |      8  |      0.9883  |     0.9463  |   0.8995  |               |             13.3858  |
|          |      9  |      0.9648  |     0.9570  |   0.9259  |               |             13.8262  |
|          |   eval  |      0.9648  |     0.9570  |   0.9259  |       0.9339  |             13.9891  |
------------------------------------------------------------------------------------------------------

|       1  |      0  |      1.4258  |     0.7100  |   0.3436  |               |              0.4927  |
|          |      1  |      1.4434  |     0.6992  |   0.3073  |               |              1.0035  |
|          |      2  |      1.2822  |     0.7900  |   0.3958  |               |              1.4983  |
|          |      3  |      1.1836  |     0.8379  |   0.5891  |               |              1.9586  |
|          |      4  |      1.1455  |     0.8662  |   0.7777  |               |              2.4221  |
|          |      5  |      1.1123  |     0.8867  |   0.6923  |               |              2.8901  |
|          |      6  |      1.0527  |     0.9170  |   0.8616  |               |              3.3571  |
|          |      7  |      1.0352  |     0.9209  |   0.7882  |               |              3.8276  |
|          |      8  |      0.9868  |     0.9521  |   0.9222  |               |              4.2982  |
|          |   eval  |      0.9868  |     0.9521  |   0.9222  |       0.9289  |              4.4615  |
------------------------------------------------------------------------------------------------------

|       2  |      0  |      1.3760  |     0.7422  |   0.5910  |               |              0.4891  |
|          |      1  |      1.3418  |     0.7627  |   0.4410  |               |              0.9951  |
|          |      2  |      1.2969  |     0.7881  |   0.2462  |               |              1.4899  |
|          |      3  |      1.2002  |     0.8350  |   0.5623  |               |              1.9571  |
|          |      4  |      1.2217  |     0.8359  |   0.7784  |               |              2.4211  |
|          |      5  |      1.1533  |     0.8613  |   0.7510  |               |              2.8859  |
|          |      6  |      1.0928  |     0.8887  |   0.7832  |               |              3.3490  |
|          |      7  |      1.0674  |     0.9033  |   0.8596  |               |              3.8161  |
|          |      8  |      0.9893  |     0.9551  |   0.9044  |               |              4.2783  |
|          |   eval  |      0.9893  |     0.9551  |   0.9044  |       0.9138  |              4.4414  |
------------------------------------------------------------------------------------------------------

|       3  |      0  |      1.4121  |     0.7227  |   0.5067  |               |              0.4964  |
|          |      1  |      1.3750  |     0.7373  |   0.4857  |               |              1.0057  |
|          |      2  |      1.2539  |     0.8135  |   0.6483  |               |              1.5198  |
|          |      3  |      1.2197  |     0.8213  |   0.6034  |               |              1.9873  |
|          |      4  |      1.1836  |     0.8369  |   0.7189  |               |              2.4458  |
|          |      5  |      1.1201  |     0.8789  |   0.7301  |               |              2.9017  |
|          |      6  |      1.0586  |     0.9111  |   0.8436  |               |              3.3618  |
|          |      7  |      1.0518  |     0.9062  |   0.8342  |               |              3.8317  |
|          |      8  |      1.0049  |     0.9424  |   0.9050  |               |              4.2955  |
|          |   eval  |      1.0049  |     0.9424  |   0.9050  |       0.9153  |              4.4596  |
------------------------------------------------------------------------------------------------------

|       4  |      0  |      1.3574  |     0.7432  |   0.6399  |               |              0.6112  |
|          |      1  |      1.3223  |     0.7588  |   0.4499  |               |              1.1242  |
|          |      2  |      1.2705  |     0.7988  |   0.5202  |               |              1.6233  |
|          |      3  |      1.2100  |     0.8389  |   0.6884  |               |              2.0569  |
|          |      4  |      1.1621  |     0.8652  |   0.7878  |               |              2.5200  |
|          |      5  |      1.1406  |     0.8711  |   0.6948  |               |              2.9872  |
|          |      6  |      1.0635  |     0.9072  |   0.8323  |               |              3.4566  |
|          |      7  |      1.0361  |     0.9209  |   0.8730  |               |              3.9238  |
|          |      8  |      0.9819  |     0.9541  |   0.9088  |               |              4.3842  |
|          |   eval  |      0.9819  |     0.9541  |   0.9088  |       0.9173  |              4.5480  |
------------------------------------------------------------------------------------------------------

|       5  |      0  |      1.4131  |     0.7188  |   0.6499  |               |              0.4823  |
|          |      1  |      1.4824  |     0.6973  |   0.4700  |               |              0.9969  |
|          |      2  |      1.2764  |     0.7988  |   0.5490  |               |              1.5023  |
|          |      3  |      1.1973  |     0.8369  |   0.6602  |               |              1.9723  |
|          |      4  |      1.1680  |     0.8447  |   0.7687  |               |              2.4418  |
|          |      5  |      1.1230  |     0.8789  |   0.7034  |               |              2.9210  |
|          |      6  |      1.0859  |     0.9004  |   0.8408  |               |              3.3926  |
|          |      7  |      1.0361  |     0.9219  |   0.8596  |               |              3.8683  |
|          |      8  |      0.9995  |     0.9404  |   0.9053  |               |              4.3219  |
|          |   eval  |      0.9995  |     0.9404  |   0.9053  |       0.9137  |              4.4850  |
------------------------------------------------------------------------------------------------------

|       6  |      0  |      1.3994  |     0.7256  |   0.6643  |               |              0.4757  |
|          |      1  |      1.3672  |     0.7549  |   0.4529  |               |              0.9893  |
