================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: False
Learning Rate (per 1024 examples): 23.0

Summary Results:
Mean Accuracy: 0.9254
Std Accuracy: 0.0055
Time Mean: 4.1179 seconds
Time Std: 1.6386 seconds

================================================================================

Detailed Training Logs:
================================================================================

|       0  |      0  |      1.3867  |     0.7178  |   0.6963  |               |              8.5072  |
|          |      1  |      1.2939  |     0.7803  |   0.6447  |               |              8.9362  |
|          |      2  |      1.2246  |     0.8223  |   0.7577  |               |              9.3620  |
|          |      3  |      1.1484  |     0.8662  |   0.7965  |               |              9.7647  |
|          |      4  |      1.1299  |     0.8789  |   0.7676  |               |             10.1680  |
|          |      5  |      1.1006  |     0.8877  |   0.8538  |               |             10.5707  |
|          |      6  |      1.0635  |     0.9141  |   0.8783  |               |             10.9761  |
|          |      7  |      1.0518  |     0.9062  |   0.8647  |               |             11.3813  |
|          |      8  |      0.9834  |     0.9521  |   0.9156  |               |             11.7868  |
|          |   eval  |      0.9834  |     0.9521  |   0.9156  |       0.9285  |             11.9507  |
------------------------------------------------------------------------------------------------------

|       1  |      0  |      1.3848  |     0.7266  |   0.6804  |               |              0.4153  |
|          |      1  |      1.2637  |     0.7998  |   0.5912  |               |              0.8381  |
|          |      2  |      1.2158  |     0.8291  |   0.7044  |               |              1.2594  |
|          |      3  |      1.1924  |     0.8379  |   0.6695  |               |              1.6718  |
|          |      4  |      1.1172  |     0.8828  |   0.7574  |               |              2.0752  |
|          |      5  |      1.1299  |     0.8691  |   0.8483  |               |              2.4810  |
|          |      6  |      1.0293  |     0.9258  |   0.8884  |               |              2.8677  |
|          |      7  |      1.0225  |     0.9326  |   0.8610  |               |              3.2429  |
|          |      8  |      0.9688  |     0.9648  |   0.9117  |               |              3.6432  |
|          |   eval  |      0.9688  |     0.9648  |   0.9117  |       0.9218  |              3.8092  |
------------------------------------------------------------------------------------------------------

|       2  |      0  |      1.4316  |     0.6992  |   0.6635  |               |              0.4112  |
|          |      1  |      1.3164  |     0.7812  |   0.7756  |               |              0.8307  |
|          |      2  |      1.2119  |     0.8311  |   0.7214  |               |              1.2560  |
|          |      3  |      1.1953  |     0.8408  |   0.5969  |               |              1.6625  |
|          |      4  |      1.1631  |     0.8545  |   0.8505  |               |              2.0653  |
|          |      5  |      1.0879  |     0.8955  |   0.8224  |               |              2.4757  |
|          |      6  |      1.0410  |     0.9180  |   0.8560  |               |              2.8814  |
|          |      7  |      1.0303  |     0.9316  |   0.8962  |               |              3.2870  |
|          |      8  |      0.9707  |     0.9570  |   0.9199  |               |              3.6912  |
|          |   eval  |      0.9707  |     0.9570  |   0.9199  |       0.9279  |              3.8565  |
------------------------------------------------------------------------------------------------------

|       3  |      0  |      1.3408  |     0.7637  |   0.7235  |               |              0.4120  |
|          |      1  |      1.2793  |     0.8018  |   0.7134  |               |              0.8413  |
|          |      2  |      1.2441  |     0.8184  |   0.7018  |               |              1.2650  |
|          |      3  |      1.1465  |     0.8613  |   0.8147  |               |              1.6400  |
|          |      4  |      1.1357  |     0.8516  |   0.8095  |               |              2.0390  |
|          |      5  |      1.0977  |     0.8867  |   0.8044  |               |              2.4511  |
|          |      6  |      1.0547  |     0.9131  |   0.8763  |               |              2.8529  |
|          |      7  |      1.0088  |     0.9424  |   0.8951  |               |              3.2761  |
|          |      8  |      0.9673  |     0.9619  |   0.9238  |               |              3.6807  |
|          |   eval  |      0.9673  |     0.9619  |   0.9238  |       0.9320  |              3.8465  |
------------------------------------------------------------------------------------------------------

|       4  |      0  |      1.3711  |     0.7344  |   0.6862  |               |              0.5320  |
|          |      1  |      1.2363  |     0.8232  |   0.7782  |               |              0.9683  |
|          |      2  |      1.2129  |     0.8350  |   0.7378  |               |              1.3950  |
|          |      3  |      1.1367  |     0.8770  |   0.8114  |               |              1.8020  |
|          |      4  |      1.0898  |     0.9121  |   0.8242  |               |              2.2065  |
|          |      5  |      1.1270  |     0.8740  |   0.8338  |               |              2.6141  |
|          |      6  |      1.0527  |     0.9141  |   0.8870  |               |              3.0152  |
|          |      7  |      1.0312  |     0.9277  |   0.8964  |               |              3.4168  |
|          |      8  |      1.0010  |     0.9404  |   0.9228  |               |              3.7981  |
|          |   eval  |      1.0010  |     0.9404  |   0.9228  |       0.9306  |              3.9666  |
------------------------------------------------------------------------------------------------------

|       5  |      0  |      1.4043  |     0.7227  |   0.7368  |               |              0.4137  |
|          |      1  |      1.2842  |     0.7900  |   0.6934  |               |              0.8338  |
|          |      2  |      1.2012  |     0.8398  |   0.7763  |               |              1.2575  |
|          |      3  |      1.1914  |     0.8408  |   0.7845  |               |              1.6591  |
|          |      4  |      1.1250  |     0.8838  |   0.7662  |               |              2.0611  |
|          |      5  |      1.1211  |     0.8691  |   0.8205  |               |              2.4679  |
|          |      6  |      1.0479  |     0.9160  |   0.8477  |               |              2.8726  |
|          |      7  |      1.0400  |     0.9199  |   0.8996  |               |              3.2772  |
|          |      8  |      0.9727  |     0.9590  |   0.9145  |               |              3.6814  |
|          |   eval  |      0.9727  |     0.9590  |   0.9145  |       0.9217  |              3.8481  |
------------------------------------------------------------------------------------------------------

|       6  |      0  |      1.3652  |     0.7480  |   0.7025  |               |              0.4128  |
|          |      1  |      1.2822  |     0.7852  |   0.7631  |               |              0.8547  |
|          |      2  |      1.2148  |     0.8311  |   0.7328  |               |              1.2781  |
|          |      3  |      1.1436  |     0.8740  |   0.7806  |               |              1.6801  |
|          |      4  |      1.1582  |     0.8633  |   0.7620  |               |              2.0684  |
|          |      5  |      1.1035  |     0.8828  |   0.7610  |               |              2.4465  |
|          |      6  |      1.0469  |     0.9160  |   0.8603  |               |              2.8501  |
|          |      7  |      1.0391  |     0.9238  |   0.8787  |               |              3.2549  |
|          |      8  |      0.9839  |     0.9580  |   0.9189  |               |              3.6597  |
|          |   eval  |      0.9839  |     0.9580  |   0.9189  |       0.9279  |              3.8277  |
------------------------------------------------------------------------------------------------------

|       7  |      0  |      1.3623  |     0.7529  |   0.6393  |               |              0.4152  |
|          |      1  |      1.2637  |     0.8018  |   0.6255  |               |              0.8394  |
|          |      2  |      1.1943  |     0.8350  |   0.8001  |               |              1.2595  |
|          |      3  |      1.1465  |     0.8682  |   0.7738  |               |              1.6598  |
